group,temperature_K,degauss_Ry,signed_distance,distance,direction,background_cm-1,target_total_cm-1,model_cm-1,signed_error_cm-1
300,300,0.0019000869,-0.06000000000000005,0.06000000000000005,line_GK,1380.1895730300491,1317.598415,1311.3812071485931,-6.2172078514067834
300,300,0.0019000869,-0.040000000000000036,0.040000000000000036,line_GK,1380.1150354212862,1307.95517,1305.2246441979476,-2.730525802052398
300,300,0.0019000869,-0.025000000000000022,0.025000000000000022,line_GK,1380.0858708018882,1299.850928,1298.5151547322384,-1.335773267761624
300,300,0.0019000869,-0.015000000000000013,0.015000000000000013,line_GK,1380.075645858681,1293.949021,1293.4129261301148,-0.5360948698851189
300,300,0.0019000869,-0.008000000000000007,0.008000000000000007,line_GK,1380.0719273617449,1290.184203,1289.9165763793276,-0.2676266206724449
300,300,0.0019000869,0.0,0.0,line_GK,1380.070552374435,1288.039763,1287.4681059666402,-0.5716570333597701
300,300,0.0019000869,0.008000000000000007,0.008000000000000007,line_GK,1380.0717899510505,1290.23178,1289.9164293646706,-0.3153506353294233
300,300,0.0019000869,0.014999999999999902,0.014999999999999902,line_GK,1380.0747402052634,1294.155032,1293.411959795036,-0.7430722049639371
300,300,0.0019000869,0.02499999999999991,0.02499999999999991,line_GK,1380.0816794678167,1300.448787,1298.5107001041588,-1.938086895841252
300,300,0.0019000869,0.040000000000000036,0.040000000000000036,line_GK,1380.097883008375,1309.335919,1305.2065076109448,-4.129411389055349
300,300,0.0019000869,0.06000000000000005,0.06000000000000005,line_GK,1380.131793077266,1320.330123,1311.3203953360526,-9.009727663947388
450,450,0.00285013035,-0.06000000000000005,0.06000000000000005,line_GK,1380.1895730300491,1317.501188,1311.6661850704222,-5.83500292957774
450,450,0.00285013035,-0.040000000000000036,0.040000000000000036,line_GK,1380.1150354212862,1307.734211,1304.8323531810654,-2.901857818934559
450,450,0.00285013035,-0.025000000000000022,0.025000000000000022,line_GK,1380.0858708018882,1299.567332,1298.293108696331,-1.2742233036690322
450,450,0.00285013035,-0.015000000000000013,0.015000000000000013,line_GK,1380.075645858681,1294.174434,1293.867096416232,-0.30733758376800324
450,450,0.00285013035,-0.008000000000000007,0.008000000000000007,line_GK,1380.0719273617449,1291.184005,1291.180446935013,-0.003558064987146281
450,450,0.00285013035,0.0,0.0,line_GK,1380.070552374435,1289.791537,1289.583737022802,-0.20779997719796484
450,450,0.00285013035,0.008000000000000007,0.008000000000000007,line_GK,1380.0717899510505,1291.215158,1291.180300064261,-0.03485793573895535
450,450,0.00285013035,0.014999999999999902,0.014999999999999902,line_GK,1380.0747402052634,1294.343967,1293.866130420354,-0.47783657964600934
450,450,0.00285013035,0.02499999999999991,0.02499999999999991,line_GK,1380.0816794678167,1300.115274,1298.2886533063772,-1.8266206936227718
450,450,0.00285013035,0.040000000000000036,0.040000000000000036,line_GK,1380.097883008375,1309.106408,1304.814211141317,-4.292196858683155
450,450,0.00285013035,0.06000000000000005,0.06000000000000005,line_GK,1380.131793077266,1320.234188,1311.6053864707155,-8.628801529284374
600,600,0.0038001738,-0.06000000000000005,0.06000000000000005,line_GK,1380.1895730300491,1317.279081,1311.866608205416,-5.412472794583891
600,600,0.0038001738,-0.040000000000000036,0.040000000000000036,line_GK,1380.1150354212862,1307.439796,1304.6700704314703,-2.769725568529566
600,600,0.0038001738,-0.025000000000000022,0.025000000000000022,line_GK,1380.0858708018882,1299.558697,1298.507500061347,-1.0511969386529927
600,600,0.0038001738,-0.015000000000000013,0.015000000000000013,line_GK,1380.075645858681,1294.824737,1294.7313960071529,-0.09334099284706099
600,600,0.0038001738,-0.008000000000000007,0.008000000000000007,line_GK,1380.0719273617449,1292.439587,1292.6475444064918,0.20795740649168692
600,600,0.0038001738,0.0,0.0,line_GK,1380.070552374435,1291.406318,1291.5430195916151,0.1367015916150649
600,600,0.0038001738,0.008000000000000007,0.008000000000000007,line_GK,1380.0717899510505,1292.463989,1292.6473977024316,0.18340870243150675
600,600,0.0038001738,0.014999999999999902,0.014999999999999902,line_GK,1380.0747402052634,1294.961501,1294.7304306561273,-0.23107034387271597
600,600,0.0038001738,0.02499999999999991,0.02499999999999991,line_GK,1380.0816794678167,1300.05103,1298.5030454070074,-1.5479845929926341
600,600,0.0038001738,0.040000000000000036,0.040000000000000036,line_GK,1380.097883008375,1308.772969,1304.6519261350738,-4.121042864926267
600,600,0.0038001738,0.06000000000000005,0.06000000000000005,line_GK,1380.131793077266,1320.010939,1311.8058188947716,-8.205120105228389
