smearing_degauss_Ry,lattice_temperature_K,direction,signed_q_2pi_over_a,q1,q2,MLIP_plus_full_EPC_LR_cm-1,DFT_TDEP_wave3_raw_6x6_cm-1,DFT_TDEP_wave1_plus_full_EPC_LR_cm-1,DFT_TDEP_wave2_plus_full_EPC_LR_cm-1,DFT_TDEP_wave3_plus_full_EPC_LR_cm-1
0.0019000869,300,KG,-0.039999999999999994,0.3133333333333333,0.3133333333333333,1307.1412964740944,1284.3591959930877,1307.939490260299,1318.6208173920343,1303.6973097230825
0.0019000869,300,KG,-0.03966666666666667,0.3135,0.3135,1306.9856709854985,1284.2992507362665,1307.8116337543786,1318.5063830422885,1303.5726269721115
0.0019000869,300,KG,-0.03933333333333333,0.31366666666666665,0.31366666666666665,1306.807051346762,1284.2397696966725,1307.6606384118945,1318.3689110117866,1303.4247164624283
0.0019000869,300,KG,-0.039,0.31383333333333335,0.31383333333333335,1306.6257359788972,1284.1807536582205,1307.5067887501682,1318.2285212818556,1303.2739284311876
0.0019000869,300,KG,-0.03866666666666667,0.314,0.314,1306.463427237819,1284.1222034018122,1307.3717705386562,1318.10672277948,1303.1420187530896
0.0019000869,300,KG,-0.03833333333333333,0.31416666666666665,0.31416666666666665,1306.2717172756854,1284.0641197053126,1307.2072077159603,1317.955533025184,1302.9804540292362
0.0019000869,300,KG,-0.038,0.3143333333333333,0.3143333333333333,1306.099232337401,1284.0065033435199,1307.0616908984541,1317.8231464873868,1302.8379822777233
0.0019000869,300,KG,-0.03766666666666667,0.3145,0.3145,1305.9247357557554,1283.9493550881384,1306.9139966563077,1317.6885123420682,1302.6933108948188
0.0019000869,300,KG,-0.03733333333333333,0.31466666666666665,0.31466666666666665,1305.7288474494972,1283.892675707752,1306.7447584664817,1317.5324223879077,1302.5270103620478
0.0019000869,300,KG,-0.037,0.31483333333333335,0.31483333333333335,1305.561497324743,1283.8364659677943,1306.6038660864936,1317.4043577448756,1302.389131715187
0.0019000869,300,KG,-0.03666666666666667,0.315,0.315,1305.372816227002,1283.7807266305217,1306.4414878047846,1317.2548945498418,1302.2296816140029
0.0019000869,300,KG,-0.03633333333333333,0.31516666666666665,0.31516666666666665,1305.1822722428844,1283.7254584549864,1306.2770750812476,1317.103324751968,1302.068174218592
0.0019000869,300,KG,-0.036,0.3153333333333333,0.3153333333333333,1305.0108074636391,1283.6706621970059,1306.1315505552168,1316.9703985433578,1301.9255994765479
0.0019000869,300,KG,-0.035666666666666666,0.3155,0.3155,1304.8107242195406,1283.6163386091355,1305.957255712617,1316.8088492435334,1301.7541445965244
0.0019000869,300,KG,-0.03533333333333333,0.31566666666666665,0.31566666666666665,1304.629665237784,1283.5624884406416,1305.8017906432735,1316.6658847789436,1301.6015631346029
0.0019000869,300,KG,-0.034999999999999996,0.31583333333333335,0.31583333333333335,1304.4466562906985,1283.5091124374708,1305.644197675622,1316.5207197232328,1301.446829431245
0.0019000869,300,KG,-0.034666666666666665,0.316,0.316,1304.2426947485546,1283.4562113422212,1305.4654905475318,1316.3545246269643,1301.270895742353
0.0019000869,300,KG,-0.034333333333333334,0.31616666666666665,0.31616666666666665,1304.0666086240205,1283.4037858941153,1305.3144502729083,1316.2156768301243,1301.1227000568776
0.0019000869,300,KG,-0.034,0.3163333333333333,0.3163333333333333,1303.869662837759,1283.3518368289697,1305.142386161703,1316.0558882540813,1300.953394467201
0.0019000869,300,KG,-0.033666666666666664,0.3165,0.3165,1303.6708476874785,1283.3003648791666,1304.9682693150926,1315.8939728277692,1300.7820109451038
0.0019000869,300,KG,-0.03333333333333333,0.31666666666666665,0.31666666666666665,1303.49051718245,1283.2493707736232,1304.812431722391,1315.750093277781,1300.6289465982907
0.0019000869,300,KG,-0.033,0.31683333333333336,0.31683333333333336,1303.2822430453052,1283.1988552377647,1304.628490480234,1315.5782518896451,1300.447669026187
0.0019000869,300,KG,-0.03266666666666666,0.317,0.317,1303.0922972644441,1283.1488189934926,1304.462669054934,1315.4242874905026,1300.2845500720184
0.0019000869,300,KG,-0.03233333333333333,0.31716666666666665,0.31716666666666665,1302.9003624402087,1283.099262759156,1304.294669275687,1315.268070412342,1300.1192259970067
