mp_id,n_imaginary,asr_residual,uncertainty
mp-1265,0,3.6602638208243717e-07,1.830131910412186e-06
mp-22862,0,6.829079937849525e-08,3.414539968924763e-07
mp-2172,0,1.1705460981516148e-07,5.852730490758074e-07
mp-1960,0,2.481370306841217e-07,1.2406851534206085e-06
mp-804,0,2.1935073896727705e-07,1.0967536948363853e-06
mp-1986,0,1.7471576817590957e-07,8.735788408795479e-07
mp-2472,0,1.537428660653504e-07,7.687143303267521e-07
mp-1143,0,3.4578431815860995e-07,1.7289215907930497e-06
mp-632229,66,1.783691260442038e-07,66.00000089184563
mp-760411,215,2.5401711489194116e-07,215.00000127008556
mp-761842,39,2.4852542742604666e-07,39.000001242627135
mp-555742,0,3.575875325488124e-07,1.787937662744062e-06
mp-532768,0,1.976475571124886e-07,9.88237785562443e-07
mp-673245,0,6.604840659866642e-08,3.302420329933321e-07
mp-20878,36,1.7004207086042623e-07,36.000000850210355
mp-2242,176,1.2639823663873833e-07,176.00000063199118
mp-558134,87,4.7034838221098455e-08,87.00000023517418
mp-568328,0,1.0585649604104543e-07,5.292824802052271e-07
mp-581967,548,3.0629145542181125e-07,548.0000015314573
mp-753378,26,3.4955131819269504e-07,26.000001747756592
mp-531064,3174,8.494989694063335e-08,3174.0000004247495
mp-29510,557,2.8685507188237416e-07,557.0000014342753
mp-568348,1198,1.0830974727286393e-07,1198.0000005415488
mp-23154,457,8.770716223997137e-08,457.00000043853584
mp-23922,1150,8.065160696255121e-07,1150.0000040325804
mp-561203,1436,1.578133060863644e-07,1436.0000007890665
mp-561367,2063,3.318941887476034e-07,2063.000001659471
mp-7441,95,1.6672544365660872e-07,95.00000083362721
mp-19795,32,1.0433568885812737e-07,32.000000521678444
mp-27726,809,3.7185343189659845e-07,809.0000018592672
mp-36066,17,3.6452099066652507e-07,17.000001822604954
mp-556328,38,1.4151296418341022e-07,38.00000070756482
mp-557082,9,6.849292372743836e-07,9.000003424646186
mp-753671,15,5.762835277774129e-07,15.00000288141764
mp-776016,277,9.472347835338626e-08,277.0000004736174
mp-23052,160,1.6668185740272387e-07,160.00000083340927
mp-28027,503,1.6607333053407763e-07,503.0000008303667
mp-29312,65,7.350341584916751e-08,65.00000036751707
mp-34381,182,6.162682180760073e-07,182.00000308134108
mp-542613,38,1.8025233118657415e-07,38.00000090126166
mp-556296,0,9.812253981598798e-08,4.906126990799399e-07
mp-557465,398,3.947515271669728e-07,398.00000197375766
mp-560616,96,4.5644522471209904e-07,96.00000228222612
mp-560998,2456,4.151676095476513e-07,2456.000002075838
mp-600038,1590,2.0267506525116825e-07,1590.0000010133754
mp-644271,238,4.0351829286721446e-07,238.00000201759147
mp-644419,584,4.4310285727409036e-07,584.0000022155143
mp-685097,0,3.7873271771643054e-07,1.8936635885821526e-06
mp-776097,0,1.8461093915301904e-07,9.230546957650952e-07
mp-31243,13,3.606842834793428e-08,13.000000180342141
mp-561412,0,4.011311888145251e-07,2.0056559440726254e-06
mp-29226,0,3.051490643801634e-07,1.525745321900817e-06
mp-543028,523,1.5906176008335543e-07,523.0000007953088
mp-555846,0,1.7325447207722364e-07,8.662723603861182e-07
mp-558285,1,1.4301079781475915e-07,1.0000007150539891
mp-559759,0,6.54574444330745e-07,3.2728722216537247e-06
mp-560381,344,2.2953149023758435e-07,344.00000114765743
mp-6109,365,2.3971322267488e-07,365.0000011985661
mp-622930,0,1.2641165157086573e-07,6.320582578543286e-07
mp-673798,23,8.426892264856076e-08,23.000000421344613
mp-768257,1590,3.742975499310822e-07,1590.0000018714877
mp-776024,539,1.9099240540521308e-07,539.000000954962
mp-778064,1,1.8676840994130234e-07,1.0000009338420497
