mp_id,n_imaginary,asr_residual,uncertainty
mp-1265,0,2.33266510965322e-07,1.16633255482661e-06
mp-22862,0,1.1278287122762373e-07,5.639143561381187e-07
mp-2172,0,1.8416659019394546e-07,9.208329509697273e-07
mp-1960,0,2.8103218777745445e-07,1.4051609388872722e-06
mp-804,0,2.050199024821461e-07,1.0250995124107304e-06
mp-1986,0,1.5427665666928535e-07,7.713832833464268e-07
mp-2472,0,7.80462015416425e-08,3.902310077082125e-07
mp-1143,0,2.2717973042480177e-07,1.1358986521240088e-06
mp-23202,5,2.4245853870281375e-08,5.000000121229269
mp-632229,100,2.4681157856341797e-07,100.00000123405789
mp-760411,223,3.032512785869306e-07,223.0000015162564
mp-761842,30,2.2087645906330719e-07,30.000001104382296
mp-555742,0,4.1596497146477837e-07,2.0798248573238917e-06
mp-532768,0,3.192145432282671e-07,1.5960727161413355e-06
mp-673245,0,7.429179259342618e-08,3.7145896296713085e-07
mp-20878,22,1.0970596772812186e-07,22.00000054852984
mp-2242,100,6.939464265516432e-08,100.00000034697321
mp-558134,74,7.077981394131265e-08,74.00000035389907
mp-568328,0,1.443442783553727e-07,7.217213917768635e-07
mp-677103,6,6.049793035378219e-07,6.000003024896517
mp-27418,6,1.37798347685523e-07,6.000000688991738
mp-581967,305,3.12805797196439e-07,305.000001564029
mp-753378,18,2.732811582752019e-07,18.00000136640579
mp-531064,2744,9.557023063380455e-08,2744.0000004778512
mp-29510,517,2.634415262539393e-07,517.0000013172076
mp-568348,143,1.4264322772497028e-07,143.00000071321614
mp-23154,467,1.408129138667768e-07,467.0000007040646
mp-23922,944,7.35706385489046e-07,944.0000036785319
mp-561203,1330,2.6979702665281386e-07,1330.000001348985
mp-561367,1677,1.74958567982649e-07,1677.000000874793
mp-7441,72,1.1950359497803966e-07,72.00000059751798
mp-19795,16,9.45929982198776e-08,16.00000047296499
mp-27726,690,3.522863684299535e-07,690.0000017614318
mp-36066,15,2.734329230724211e-07,15.000001367164616
mp-530033,0,7.015087442590843e-07,3.5075437212954218e-06
mp-556328,0,1.4049064249682237e-07,7.024532124841119e-07
mp-557082,0,5.591281509936035e-07,2.795640754968018e-06
mp-753671,10,3.2621435486367733e-07,10.000001631071774
mp-776016,182,1.345929596253103e-07,182.0000006729648
mp-23052,160,1.229860621152333e-07,160.00000061493031
mp-28027,421,2.2064638725567198e-07,421.0000011032319
mp-29312,0,4.5184889556150026e-08,2.2592444778075012e-07
mp-34381,56,2.794674804367708e-07,56.0000013973374
mp-542613,0,2.091129681647315e-07,1.0455648408236575e-06
mp-556296,0,9.346306755296595e-08,4.673153377648298e-07
mp-557465,352,4.7312971473357005e-07,352.0000023656486
mp-560616,157,5.008701458906609e-07,157.00000250435073
mp-560998,2363,5.284381282483318e-07,2363.000002642191
mp-567269,3,1.045292690625357e-07,3.0000005226463453
mp-600038,1620,4.436233380483439e-07,1620.0000022181166
mp-644271,263,3.8547405447878025e-07,263.00000192737025
mp-644419,624,7.507517795107968e-07,624.0000037537588
mp-685097,0,2.13709456216931e-07,1.068547281084655e-06
mp-776097,0,2.5911827116992903e-07,1.2955913558496452e-06
mp-31243,43,8.576452082372397e-08,43.0000004288226
mp-561412,0,3.302711632791762e-07,1.6513558163958812e-06
mp-29226,0,4.467101239762039e-07,2.2335506198810195e-06
mp-543028,452,1.352145932099461e-07,452.00000067607294
mp-555846,0,1.60259098987247e-07,8.01295494936235e-07
mp-558285,0,1.8014250893063964e-07,9.007125446531982e-07
mp-559759,0,2.5338421345880264e-07,1.2669210672940132e-06
mp-560381,120,1.9073929295501707e-07,120.00000095369647
mp-6109,472,3.12988722090862e-07,472.0000015649436
mp-622930,0,1.1802390378250948e-07,5.901195189125474e-07
mp-625521,1,4.127366478996359e-07,1.0000020636832394
mp-673798,9,7.305648426567744e-08,9.000000365282421
mp-676038,5,1.648524286492273e-07,5.000000824262143
mp-753575,3,8.47908488618702e-08,3.000000423954244
mp-768257,1595,4.33978582637465e-07,1595.000002169893
mp-776024,488,2.3524080594736296e-07,488.000001176204
mp-778064,0,1.9117135376054333e-07,9.558567688027167e-07
