mp_id,n_imaginary,asr_residual,uncertainty
mp-22862,0,1.3183335283988464e-07,6.591667641994232e-07
mp-2172,0,1.3740433879739985e-07,6.870216939869992e-07
mp-1960,0,2.4278667412624774e-07,1.2139333706312387e-06
mp-804,0,1.696768226240928e-07,8.48384113120464e-07
mp-1986,0,2.1127285363744252e-07,1.0563642681872126e-06
mp-2472,0,6.511272239707137e-08,3.2556361198535685e-07
mp-632229,28,6.9966555805526e-07,28.00000349832779
mp-760411,186,3.617693540103413e-07,186.00000180884678
mp-761842,78,2.7580541342127715e-07,78.00000137902707
mp-532768,0,4.208898106172917e-07,2.1044490530864584e-06
mp-673245,0,5.599826974314069e-08,2.7999134871570343e-07
mp-20878,36,1.0763825283199429e-07,36.000000538191266
mp-2242,174,1.2671803307442275e-07,174.00000063359016
mp-558134,100,7.55729173331467e-08,100.00000037786458
mp-568328,0,2.4064871679961983e-07,1.2032435839980991e-06
mp-581967,574,4.0830244139382435e-07,574.0000020415122
mp-753378,23,2.0309026174271345e-07,23.000001015451307
mp-531064,3277,7.55068132197821e-08,3277.000000377534
mp-29510,566,2.2077842112328743e-07,566.0000011038921
mp-568348,1012,1.329821460512043e-07,1012.0000006649108
mp-23154,473,6.665171482961699e-08,473.0000003332586
mp-23922,941,9.302506829837589e-07,941.0000046512534
mp-561203,1537,3.3674402787338735e-07,1537.00000168372
mp-561367,2247,1.9999630117286692e-07,2247.0000009999817
mp-7441,63,1.1270721895878744e-07,63.0000005635361
mp-19795,31,1.2975004319439084e-07,31.000000648750216
mp-27726,774,2.897652538687391e-07,774.0000014488263
mp-36066,27,4.623754532400727e-07,27.000002311877267
mp-556328,41,8.48782126555648e-08,41.00000042439106
mp-557082,52,4.946531221241076e-07,52.00000247326561
mp-753671,14,5.94776842024509e-07,14.000002973884211
mp-776016,48,8.615224139996344e-08,48.000000430761204
mp-23052,133,1.1336154456085254e-07,133.00000056680773
mp-28027,502,2.0573854098599816e-07,502.0000010286927
mp-29312,126,7.096692915201625e-08,126.00000035483464
mp-34381,174,3.4158382250808516e-07,174.00000170791913
mp-542613,30,2.0170928400147958e-07,30.00000100854642
mp-556296,0,1.4629182250376076e-07,7.314591125188038e-07
mp-557465,313,4.675552554377027e-07,313.00000233777627
mp-560616,59,5.379838955325755e-07,59.00000268991948
mp-560998,2198,4.0308539700318307e-07,2198.000002015427
mp-600038,1394,3.8346540664176763e-07,1394.000001917327
mp-644271,311,5.109024258622774e-07,311.00000255451215
mp-644419,749,7.228039116595161e-07,749.0000036140195
mp-776097,32,2.5564098817427704e-07,32.00000127820494
mp-31243,47,7.353517262811787e-08,47.00000036767587
mp-29226,0,1.9891407415847288e-07,9.945703707923644e-07
mp-543028,685,1.9794933170522497e-07,685.0000009897467
mp-555846,0,1.7245708725140207e-07,8.622854362570103e-07
mp-560381,227,2.154699527252741e-07,227.00000107734976
mp-6109,434,3.086153870185905e-07,434.00000154307696
mp-622930,0,1.338490410178816e-07,6.69245205089408e-07
mp-673798,33,7.142974718013489e-08,33.000000357148735
mp-768257,1427,3.684237674863813e-07,1427.0000018421188
mp-776024,575,1.9067963949165291e-07,575.0000009533982
