smearing_degauss_Ry,lattice_temperature_K,distance_from_K_toward_Gamma,frequency_cm-1,frequency_minus_K_cm-1
0.0,,0.0,1282.182972,0.0
0.0,,0.0005,1282.486231399371,0.30325939937097246
0.0,,0.001,1282.8113514514077,0.6283794514076817
0.0,,0.0015,1283.1409932258262,0.9580212258260872
0.0,,0.002,1283.4657224655398,1.2827504655397206
0.0,,0.0025,1283.793279552827,1.6103075528269528
0.0,,0.003,1284.114608027748,1.9316360277480271
0.0,,0.0035,1284.4343798502632,2.251407850263149
0.0,,0.004,1284.7486028337873,2.5656308337872815
0.0,,0.0045000000000000005,1285.0686673230405,2.8856953230404088
0.0,,0.005,1285.381895208428,3.198923208427914
0.0,,0.0055,1285.6931683094556,3.510196309455523
0.0,,0.006,1285.9979704237603,3.814998423760244
0.0,,0.006500000000000001,1286.3103473909318,4.127375390931775
0.0,,0.007,1286.61532132804,4.432349328039891
0.0,,0.0075,1286.9182510869177,4.7352790869176715
0.0,,0.008,1287.214024802223,5.03105280222303
0.0,,0.0085,1287.518696669805,5.335724669804904
0.0,,0.009000000000000001,1287.8154601857104,5.632488185710372
0.0,,0.0095,1288.1102148466748,5.927242846674744
0.0,,0.01,1288.397326456214,6.214354456213869
0.0,,0.0105,1288.6941788139518,6.5112068139517305
0.0,,0.011,1288.9828411375242,6.799869137524183
0.0,,0.0115,1289.269497385409,7.086525385409004
0.0,,0.012,1289.5482272989573,7.365255298957209
0.0,,0.0125,1289.837254659819,7.654282659819046
0.0,,0.013000000000000001,1290.1179968339704,7.935024833970374
0.0,,0.0135,1290.3966714560104,8.213699456010318
0.0,,0.014,1290.6672169758572,8.48424497585711
0.0,,0.0145,1290.9485167829855,8.765544782985444
0.0,,0.015,1291.221394018597,9.038422018596975
0.0,,0.0155,1291.4922339131767,9.30926191317667
0.0,,0.016,1291.7548188574233,9.571846857423225
0.0,,0.0165,1292.0284782171364,9.84550621713629
0.0,,0.017,1292.293601060197,10.11062906019697
0.0,,0.0175,1292.5567267794052,10.37375477940509
0.0,,0.018000000000000002,1292.811499418902,10.628527418901967
0.0,,0.0185,1293.0776192014287,10.894647201428597
0.0,,0.019,1293.3351423080512,11.152170308051154
0.0,,0.0195,1293.5906908276588,11.407718827658755
0.0,,0.02,1293.83787216688,11.654900166879997
0.0,,0.0205,1294.0964946789193,11.913522678919207
0.0,,0.021,1294.3464134320357,12.163441432035597
0.0,,0.021500000000000002,1294.5947220374044,12.411750037404317
0.0,,0.022,1294.8344727125855,12.651500712585403
0.0,,0.0225,1295.0857914811183,12.902819481118286
0.0,,0.023,1295.328491372762,13.14551937276201
0.0,,0.0235,1295.569311423897,13.38633942389697
0.0,,0.024,1295.80177323386,13.61880123386004
0.0,,0.0245,1296.04586616693,13.862894166929891
0.0,,0.025,1296.2813773613912,14.098405361391087
0.0,,0.025500000000000002,1296.5150239462248,14.332051946224738
0.0,,0.026000000000000002,1296.7403880457816,14.557416045781565
0.0,,0.0265,1296.9773781699653,14.794406169965214
0.0,,0.027,1297.2058303905437,15.02285839054366
0.0,,0.0275,1297.432498413708,15.249526413707827
0.0,,0.028,1297.6508788727308,15.467906872730737
0.0,,0.0285,1297.8809056409686,15.697933640968586
0.0,,0.029,1298.1024708906455,15.9194988906454
0.0,,0.029500000000000002,1298.322235499237,16.139263499236904
0.0,,0.03,1298.53383875336,16.350866753359924
0.0019000869,300,9.99866855977416e-13,1289.3359498695224,0.0
0.0019000869,300,0.00416666666800003,1289.9199554817733,0.5840056122508486
0.0019000869,300,0.008333333331999926,1291.3317081228151,1.9957582532927063
0.0019000869,300,0.012499999998999978,1293.2359932329587,3.9000433634362253
0.0019000869,300,0.01666666666600003,1295.379518464829,6.043568595306624
0.0019000869,300,0.02083333333300008,1297.5781832298223,8.242233360299906
0.0019000869,300,0.02499999999999991,1299.7321463704309,10.396196500908445
0.0019000869,300,0.029166666667000074,1301.79902265307,12.46307278354766
0.00285013035,450,9.99866855977416e-13,1279.2544684954642,0.0
0.00285013035,450,0.00416666666800003,1279.6785922322736,0.4241237368094062
0.00285013035,450,0.008333333331999926,1280.7315022203193,1.4770337248551186
0.00285013035,450,0.012499999998999978,1282.2329373258603,2.9784688303961957
0.00285013035,450,0.01666666666600003,1284.0384116192324,4.7839431237682675
0.00285013035,450,0.02083333333300008,1286.0110965120496,6.75662801658541
0.00285013035,450,0.02499999999999991,1288.0449959028895,8.790527407425316
0.00285013035,450,0.029166666667000074,1290.068985146624,10.81451665115992
0.0038001738,600,9.99866855977416e-13,1271.6576475455904,0.0
0.0038001738,600,0.00416666666800003,1271.9809639856944,0.3233164401040085
0.0038001738,600,0.008333333331999926,1272.7933975660908,1.1357500205003817
0.0038001738,600,0.012499999998999978,1273.9866754061754,2.329027860585029
0.0038001738,600,0.01666666666600003,1275.476509858515,3.8188623129246935
0.0038001738,600,0.02083333333300008,1277.1719344732799,5.514286927689454
0.0038001738,600,0.02499999999999991,1278.989972710629,7.332325165038583
0.0038001738,600,0.029166666667000074,1280.8629670195407,9.20531947395034
