t_GK,old_band1_rel_eV,old_band2_rel_eV,matched_band1_rel_eV,matched_band2_rel_eV
0.0,-7.668256971775288,3.54308943587691,-7.169576732057954,11.488421267956337
0.002,-7.666899064334063,3.5417614555706334,-7.169540117005439,11.488308574178589
0.004,-7.665570584252053,3.540523739509201,-7.169430323192832,11.487970723115929
0.006,-7.664273316263594,3.5393786570178776,-7.1692473538876245,11.487407752105788
0.008,-7.663008752041645,3.538328671865401,-7.168991214499887,11.486619723258737
0.01,-7.661778089502495,3.5373763383809,-7.168661912552177,11.485606723338712
0.012,-7.660582233272415,3.5365242974707,-7.168259457637624,11.484368863596252
0.014,-7.659421796290943,3.535775272522656,-7.167783861366456,11.48290627955549
0.016,-7.658297102518596,3.535132065182566,-7.167235137301581,11.481219130756372
0.018000000000000002,-7.6572081907106275,3.534597550984335,-7.166613300883323,11.479307600453108
0.02,-7.656154819212044,3.534174674813001,-7.165918369344117,11.477171895270782
0.022,-7.655136471723599,3.533866446177554,-7.165150361613585,11.474812244821731
0.024,-7.654152363982992,3.5336759342685697,-7.164309298214643,11.472228901283799
0.026000000000000002,-7.65320145130108,3.533606262774298,-7.163395201151519,11.469422138942821
0.028,-7.652282436888405,3.5336606044277383,-7.162408093790215,11.466392253701596
0.03,-7.651393780903484,3.5338421752568063,-7.161348000732464,11.463139562558084
0.032,-7.65053371015166,3.5341542285094034,-7.1602149476838965,11.459664403055498
0.034,-7.649700228360328,3.5346000482257516,-7.159008961317384,11.455967132707304
0.036000000000000004,-7.648891126954699,3.535182942431103,-7.157730069132524,11.45204812839998
0.038,-7.648103996256757,3.535906235923364,-7.156378299312229,11.447907785776891
0.04,-7.64733623702971,3.5367732626319244,-7.1549536805775,11.44354651860646
0.042,-7.6465850722898425,3.53778735752641,-7.153456242041153,11.438964758137647
0.044,-7.645847559308524,3.5389518480567723,-7.151886013061783,11.434162952446481
0.046,-7.645120601728171,3.540270045109446,-7.150243023099013,11.429141565776916
0.048,-7.6444009617179765,3.541745233467905,-7.148527301570774,11.4239010778792
0.05,-7.643685272097184,3.5433806617700974,-7.1467388777138785,11.418441983349414
0.052000000000000005,-7.642970048357104,3.5451795319596133,-7.1448777804488595,11.412764790973434
0.054,-7.642251700516092,3.5471449882322976,-7.142944038249872,11.406870023078575
0.056,-7.641526544745919,3.549280105485049,-7.14093767902082,11.400758214896303
0.058,-7.640790814712063,3.5515878772789273,-7.138858729978497,11.394429913939149
0.06,-7.640040672575599,3.554071203334206,-7.136707217543575,11.387885679394802
0.062,-7.639272219608956,3.5567328765808046,-7.134483167240334,11.381126081540515
0.064,-7.638481506383941,3.5595755697932683,-7.132186603605839,11.374151701180438
0.066,-7.637664542495377,3.562601821845413,-7.129817550109277,11.366963129108807
0.068,-7.636817305790189,3.565814023625681,-7.12737602908205,11.359560965601158
0.07,-7.635935751077576,3.5692144036600366,-7.124862061659315,11.35194581993629
0.07200000000000001,-7.635015818301993,3.572805013495032,-7.122275667733182,11.344118309950659
0.074,-7.634053440166931,3.5765877128992423,-7.119616865918402,11.336079061627604
0.076,-7.633044549203864,3.5805641549466345,-7.11688567353045,11.327828708722684
0.078,-7.6319850842862005,3.5847357710505765,-7.114082106576574,11.3193678924269
0.08,-7.630870996594816,3.589103756021908,-7.1112061797598125,11.310697261068942
