T_K,w_gamma_cm,w_k_cm,kink_gamma,kink_k,minfreq_thz,force_rms_meVA,rmse_fc2_meVA,rmse_fc23_meVA,anharm_frac_cubic,anharm_frac_force,fc3_norm
100,227.25,180.08,2.360,24.702,-0.136,195.08,40.74,20.21,0.5040,0.2088,266.1238
200,226.78,182.07,2.199,24.085,-0.123,272.37,73.91,40.38,0.4536,0.2713,252.5126
300,233.26,183.14,2.332,23.310,-0.145,345.95,105.53,57.02,0.4597,0.3050,250.8458
500,228.50,186.69,2.028,23.391,-0.164,475.19,179.26,104.65,0.4162,0.3772,233.2548
