distance,pooled_top_cm-1,seed0_top_cm-1,seed1_top_cm-1,seed2_top_cm-1,leave_seed0_out_top_cm-1,leave_seed1_out_top_cm-1,leave_seed2_out_top_cm-1
0.0,1373.3134017522657,1371.1140608733776,1375.0586824493025,1374.4483353162211,1374.4496120917631,1372.818074541652,1372.7571289685845
0.001173476152739386,1373.3189937791258,1371.1225856024187,1375.0643045132167,1374.4507149691447,1374.4538920077505,1372.8234244315595,1372.7642513525093
0.002346952305478772,1373.335775594773,1371.1481613183175,1375.081174761116,1374.4578652204127,1374.466739288592,1372.8394808290143,1372.7856213413565
0.003520428458218158,1373.3637643891611,1371.1907925969178,1375.1093053529503,1374.469819924314,1374.488176516101,1372.866263899017,1372.8212474364952
0.004693904610957544,1373.4029887614013,1371.2504870297173,1375.1487165269243,1374.4866354273497,1374.51824127056,1372.9038071892796,1372.8711437740646
0.00586738076369693,1373.4534886436634,1371.327255171627,1375.1994365569822,1374.5083904523408,1374.556986046718,1372.9521575394222,1372.935330075849
0.007040856916436316,1373.5153151948616,1371.4211104680826,1375.261501693384,1374.5351859363443,1374.6044781363819,1373.0113749540988,1373.013831580689
0.0082143330691757,1373.5885306643513,1371.5320691617483,1375.3349560864847,1374.5671448225576,1374.6607994778121,1373.0815324403088,1373.1066789566005
0.009387809221915087,1373.6732082259296,1371.6601501791301,1375.419851693844,1374.6044118064106,1374.726046472177,1373.1627158092267,1373.213908193846
0.010561285374654474,1373.769431782498,1371.805374997478,1375.5162481708198,1374.6471530361366,1374.8003297673845,1373.2550234429384,1373.335560479232
0.011734761527393861,1373.8772957417991,1371.9677674924274,1375.6242127448513,1374.6955557681417,1374.8837740096712,1373.3585660265762,1373.4716820519677
0.012908237680133248,1373.9969047637198,1372.1473537668915,1375.74382007363,1374.749827977556,1374.9765175633809,1373.4734662463839,1373.6223240414718
0.014081713832872635,1374.1283734797048,1372.3441619617818,1375.8751520874182,1374.8101979244213,1375.0787121994324,1373.5998584543509,1373.787542287546
0.015255189985611994,1374.2718261848995,1372.5582220491976,1376.0182978157852,1374.8769136760243,1375.1905227530299,1373.7378883001068,1373.967397143409
0.016428666138351405,1374.427396503683,1372.789565608785,1376.1733531990587,1374.9502425859534,1375.3121267512333,1373.8877123308523,1374.1619532620966
0.017602142291090764,1374.7160994781784,1373.1076458905245,1376.3404208848183,1376.476788582156,1375.4437140110701,1374.7460653792973,1374.3712793668076
0.01877561844383015,1378.3484512423322,1376.7683427091683,1377.9706705800952,1380.1087082752028,1378.8939182572954,1378.411932353208,1377.6970870464147
0.019949094596569537,1381.9577164493128,1380.414599975206,1381.5075615857381,1383.7152940315957,1382.4652284649342,1382.0543492548443,1381.30221903826
0.021122570749308924,1385.5437640166544,1384.045678092241,1385.022121611384,1387.2959316780425,1386.0116206556227,1385.6731608027778,1384.8878809323035
0.02229604690204831,1389.1064540661057,1387.6609426306995,1388.514260257999,1390.8501007045966,1389.5329002232454,1389.2682037702084,1388.4537874595214
0.023469523054787698,1392.645637677003,1391.2598341764708,1391.9838775710627,1394.3773503846467,1393.0288815068511,1392.8393066025305,1391.9996697166646
0.024642999207527085,1396.1611567520727,1394.8418466930325,1395.4308638443301,1397.8772826688178,1396.4993841515336,1396.3862891899491,1395.5252680664769
0.02581647536026647,1399.6528439646347,1398.4065117476362,1398.8550995134065,1401.3495397303288,1399.944230498077,1399.9089627504036,1399.0303270123409
0.026989951513005858,1403.1205227669236,1401.953386855267,1402.2564551167663,1404.7937947663709,1403.363243692228,1403.4071297935598,1402.514591456076
0.028163427665745245,1406.5640074459627,1405.482046765511,1405.634791309263,1408.2097451187917,1406.7562463071795,1406.8805841463259,1405.9778039435134
0.029336903818484632,1409.9831032176933,1408.9920768871377,1408.989958917903,1411.597107073302,1410.1230593386701,1410.3291110265393,1409.4197026282247
0.03051037997122402,1413.3776063528796,1412.4830682890636,1412.3217990327353,1414.9556118912888,1413.4635014752198,1413.752487155517,1412.8400197662702
0.031683856123963405,1416.747304330139,1415.9546138802616,1415.6301431277673,1418.285002758996,1416.7773885747938,1417.1504809028618,1416.2384806099299
0.03285733227670279,1420.091976012735,1419.4063054831327,1418.914813208181,1421.5850324279859,1420.064533298714,1420.5228524587137,1419.6148026058431
0.03403080842944217,1423.4113918465919,1422.8377315925263,1422.1756219810884,1424.8554613825438,1423.3247448671518,1423.8693540299234,1422.9686948288688
0.035204284582181555,1426.7053140776295,1426.2484756672618,1425.4123730477029,1428.0960564131199,1426.5578289099474,1427.1897300574556,1426.299857601121
0.03637776073492094,1429.9734969868844,1429.6381148399535,1428.6248611152805,1431.3065895058005,1429.7635873932334,1430.4837174529694,1429.6079822585034
0.03755123688766032,1433.2156871422296,1433.0062189590783,1431.812872227482,1434.486836980104,1432.9418186071478,1433.7510458529564,1432.8927510363453
0.038724713040399705,1436.4316236656798,1436.3523498977165,1434.9761840120698,1437.6365788236467,1436.0923172034284,1436.9914378891165,1436.1538370524827
0.03989818919313909,1439.6210385154375,1439.6760610785464,1438.1145659449903,1440.755598184219,1439.2148742742543,1440.2046094738976,1439.3909043710719
0.04107166534587847,1442.7836567819365,1442.9768971759345,1441.2277796300198,1443.8436809887223,1442.309277465616,1443.3902701002721,1442.603608134111
0.042245141498617834,1445.919196997223,1446.25439396444,1444.3155790932453,1446.9006156651365,1445.3753111199314,1446.5481231549632,1445.7915947504086
0.043418617651357246,1449.027371457073,1449.5080782894568,1447.3777110916935,1449.92619294875,1448.412756443689,1449.6778662444037,1448.9545021338024
0.04459209380409661,1452.1078865552672,1452.7374681406484,1450.4139154354787,1452.9202057577995,1451.4213916967558,1452.77919153279,1452.0919599840402
0.04576556995683602,1455.160443129502,1455.9420728125808,1453.4239253228677,1455.8824491266203,1454.4009924005866,1455.851786091636,1455.2035901049412
0.04693904610957538,1458.1847368184056,1459.121393139917,1456.4074676876658,1458.8127201867667,1457.351331563081,1458.895332260258,1458.2890067553994
0.04811252226231479,1461.1804584291617,1462.2749217968085,1459.3642635583699,1461.7108181883543,1460.2721799182125,1461.909508016672,1461.3478170295382
0.049285998415054155,1464.1472943152464,1465.4021436519229,1462.2940284285153,1464.5765445552988,1463.1633061788425,1464.8939873583672,1464.3796212628695
0.05045947456779354,1467.0849267637857,1468.5025361719809,1465.1964726376664,1467.4097029692775,1466.0244773013706,1467.8484406924713,1467.3840134618022
0.05163295072053292,1469.993034392041,1471.575569867788,1468.071301762498,1470.2100994781056,1468.855458761073,1470.772535234797,1470.3605817541713
0.052806426873272305,1472.871292552557,1474.6207087776754,1470.9182170174147,1472.9775426249669,1471.6560148370877,1473.66593541729,1473.3089088587665
0.05397990302601169,1475.7193737464581,1477.6374109839774,1473.7369156641632,1475.7118435954976,1474.4259089061793,1476.5283033033936,1476.2285725720562
0.05515337917875107,1478.5369480444358,1480.6251291587805,1476.5270914298826,1478.4128163801959,1477.164903744449,1479.3592990108434,1479.1191462704992
0.056326855331490455,1481.3236835149162,1483.5833111356405,1479.2884349330432,1481.0802779500095,1479.8727618362936,1482.158581141418,1481.98019942698
0.05750033148422984,1484.079246658935,1486.5114005043743,1482.0206341167222,1483.7140484432625,1482.5492456899199,1484.925807217154,1484.8112981400266
0.05867380763696922,1486.8033028512255,1489.4088372263507,1484.7233746886718,1486.3139513623362,1485.1941181588152,1487.6606341225615,1487.6120056745792
0.059847283789708605,1489.4955167870219,1492.2750582679748,1487.3963405676093,1488.8798137787264,1487.8071427685943,1490.3627185523426,1490.3818830131513
0.06102075994244799,1492.1555529340937,1495.1094982502805,1490.039214335207,1491.411466545275,1490.3880840486768,1493.0317174641443,1493.120489416312
0.06219423609518737,1494.7830759895166,1497.911590112734,1492.6516776932026,1493.908744514517,1492.9367078682858,1495.6672885358532,1495.8273829914524
0.06336771224792676,1497.3777513406772,1500.6807657895195,1495.2334119250986,1496.3714867622004,1495.4527817762748,1498.269090626967,1498.5021212688782
0.06454118840066614,1499.9392455300288,1503.4164568966937,1497.7840983619012,1498.7995368151298,1497.9360753443018,1500.8367842435382,1501.1442617842927
0.06571466455340552,1502.4672267230937,1506.1180954287204,1500.3034188513443,1501.1927428825977,1500.386360512908,1503.3700320062244,1503.7533626667855
0.0668881407061449,1504.9613651792222,1508.785114463007,1502.7910562300704,1503.550958090687,1502.8034119400404,1505.868499120962,1506.328983231464
0.06806161685888429,1507.4213337246172,1511.416948871123,1505.246694798219,1505.874040718845,1505.1870073515984,1508.3318538517692,1508.8706845759143
0.06923509301162364,1509.8468082271227,1514.013036035474,1507.6700207958925,1508.161854438127,1507.5369278935711,1510.759767995217,1511.3780301796698
0.07040856916436306,1512.2374680722985,1516.5728165702817,1510.0607228809683,1510.4142685505938,1509.8529584853597,1513.151917356067,1513.8505865059406
0.07158204531710241,1514.5929966402746,1519.0957350457325,1512.4184926077344,1512.6311582293579,1512.1348881738636,1515.5079822236135,1516.2879236048175
0.07275552146984182,1516.9130817829212,1521.581240714275,1514.7430249058204,1514.8124047588074,1514.3825104879434,1517.8276478482496,1518.6896157172516
0.07392899762258118,1519.1974163008274,1524.0287882380364,1517.0340185589241,1516.9578957745769,1516.5956237928524,1520.1106049177733,1521.0552418790708
