T_K,w_gamma_cm,w_k_cm,kink_gamma,kink_k,minfreq_thz,force_rms_meVA,rmse_fc2_meVA,rmse_fc23_meVA,anharm_frac_cubic,anharm_frac_force,fc3_norm
100,260.40,199.33,1.502,14.964,-0.362,215.03,47.37,21.54,0.5453,0.2203,354.3986
200,259.35,194.11,1.718,15.129,-0.370,310.73,85.16,36.81,0.5678,0.2741,335.8207
300,256.75,195.37,1.751,13.719,-0.316,385.76,121.28,54.50,0.5507,0.3144,331.8308
500,248.12,188.40,1.205,18.788,-0.153,501.60,195.39,91.70,0.5307,0.3895,320.7437
