projection_mass,E50_Aprime_RMS_meV_A,E50_slope_relative_error,E50_force_RMSE_meV_A,T300_force_RMSE_meV_A,T600_force_RMSE_meV_A,force_max_abs_meV_A,passes_fixed_gate
0.0,19.0399904293643,0.006446423019553772,15.897140231049631,16.500045291029107,21.777081878149747,120.39791636618702,False
0.1,19.027141914358076,0.0053010895638401405,16.222400427076945,15.644731589510137,22.176310812374968,121.7332212160478,False
0.25,18.3626274385657,0.004040410100413535,16.65051036382276,16.006239513128513,22.893212290350494,133.74393091716834,False
0.5,18.03601820494079,0.002119819873948923,17.192226690915447,17.273951701414248,23.530381848070803,135.60985093485655,False
0.75,17.889388680446043,0.0007898428710019462,19.23871003754866,19.579807600843242,25.79020888331434,167.4642697973226,False
0.9,17.65106255411585,0.0004528071965425315,20.218855276589544,21.498423197786988,25.999755388006847,164.1732211930987,False
