delta_t,left_t,right_t,left_cm-1,center_cm-1,right_cm-1,mirror_abs_cm-1,cusp_depth_cm-1,slope_jump_cm-1_per_t
0.0030000000000000027,0.997,1.003,1286.583976,1284.28108,1286.600643,0.016667000000097687,2.311229499999854,1540.8196666666436
0.007000000000000006,0.993,1.007,1289.119421,1284.28108,1289.167587,0.04816599999981008,4.862424000000146,1389.2640000000083
0.01100000000000001,0.989,1.011,1291.709826,1284.28108,1291.838399,0.1285729999999603,7.493032500000027,1362.369545454549
0.015000000000000013,0.985,1.015,1294.07579,1284.28108,1294.309358,0.23356799999987743,9.911494000000175,1321.5325333333403
0.019000000000000017,0.981,1.019,1296.764164,1284.28108,1297.107917,0.3437530000001061,12.654960500000016,1332.1011052631584
0.02300000000000002,0.977,1.023,1298.918691,1284.28108,1299.415894,0.4972029999998995,14.886212500000056,1294.453260869569
